Time (minutes),Temperature (°C)
0,90
1,88.07895968
2,86.21469468
3,84.40552704
4,82.64982839
5,80.94601847
6,79.29256374
7,77.68797599
8,76.13081097
9,74.61966713
10,73.15318434
11,71.73004267
12,70.34896119
13,69.00869684
14,67.70804329
15,66.44582986
16,65.22092047
17,64.03221262
18,62.8786364
19,61.75915352
20,60.67275635
21,59.61846707
22,58.59533674
23,57.60244449
24,56.63889664
25,55.70382593
26,54.79639073
27,53.9157743
28,53.06118402
29,52.2318507
30,51.42702788
31,50.64599117
32,49.88803759
33,49.15248492
34,48.43867111
35,47.74595369
36,47.07370917
37,46.42133247
38,45.78823642
39,45.17385118
40,44.57762377
41,43.99901755
42,43.43751172
43,42.8926009
44,42.36379463
45,41.85061694
46,41.35260595
47,40.8693134
48,40.40030431
49,39.94515654
50,39.50346041
51,39.07481838
52,38.65884463
53,38.25516476
54,37.86341544
55,37.48324406
56,37.11430844
57,36.75627652
58,36.40882604
59,36.07164427
60,35.74442773
61,35.42688191
62,35.11872097
63,34.81966757
64,34.52945254
65,34.24781465
66,33.97450043
67,33.70926385
68,33.45186621
69,33.20207581
70,32.95966784
71,32.7244241
72,32.49613287
73,32.27458866
74,32.05959207
75,31.8509496
76,31.64847344
77,31.45198135
78,31.26129648
79,31.07624721
80,30.89666696
81,30.72239412
82,30.55327181
83,30.38914783
84,30.22987444
85,30.07530829
86,29.92531026
87,29.77974534
88,29.63848252
89,29.50139465
90,29.36835833
91,29.23925383
92,29.11396494
93,28.9923789
94,28.87438628
95,28.75988086
96,28.64875958
97,28.54092244
98,28.43627237
99,28.33471517
100,28.23615944
101,28.14051648
102,28.04770019
103,27.95762704
104,27.87021595
105,27.78538825
106,27.70306758
107,27.62317986
108,27.54565318
109,27.47041776
110,27.39740588
111,27.32655183
112,27.25779183
113,27.191064
114,27.12630827
115,27.06346636
116,27.00248172
117,26.94329944
118,26.88586626
119,26.83013049
120,26.77604196
